Sku,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,unit cost,lead-time,retail_price,quantity_on_hand
KR202-209,1509,1855,2665,1841,1231,2598,1988,1988,2927,2707,731,2598,1001,2,5000,1003
KR202-210,1006,206,2588,670,2768,2809,1475,1537,919,2525,440,2691,394,2,1300,3224
KR202-211,1840,2284,850,983,2737,1264,2002,1980,235,1489,218,525,434,4,1200,390
KR202-212,104,2262,350,528,2570,1216,1101,2755,2856,2381,1867,2743,474,3,10,390
KR202-213,489,954,1112,199,919,330,561,2372,921,1587,1532,1512,514,1,2000,2095
KR202-214,2416,2010,2527,1409,1059,890,2837,276,987,2228,1095,1396,554,2,1800,55
KR202-215,403,1737,753,1982,2775,380,1561,1230,1262,2249,824,743,594,1,2500,4308
KR202-216,2908,929,684,2618,1477,1508,765,43,2550,2157,937,1201,634,3,3033,34
KR202-217,2799,2197,1647,2263,224,2987,2366,588,1140,869,1707,1180,674,3,5433,390
KR202-218,1333,402,804,318,1408,830,1028,534,1871,2730,2022,94,714,2,3034,3535
KR202-219,813,969,745,1001,2732,1987,717,599,2722,171,639,2108,754,3,5000,334
KR202-220,1481,905,1067,2513,861,1670,650,2630,1245,997,1936,2780,794,3,7500,3434
KR202-221,771,2941,1360,2714,1801,1744,1428,1660,436,578,1956,1101,834,2,4938,4433
KR202-222,2349,4,345,524,340,2698,2137,1164,498,1583,1241,2965,874,2,4922,3435
KR202-223,2045,2055,552,81,2780,176,2316,1475,2566,1678,1553,2745,914,1,4894,34533
KR202-224,2482,1887,1911,1446,2939,1241,1281,692,119,627,1941,1383,954,2,2942,33
KR202-225,2744,2770,2697,1726,1776,2264,332,2420,2722,1161,1986,2587,994,6,8999,2000
KR202-226,2509,914,903,877,1859,2263,383,593,236,189,920,1686,1034,3,4342,4344
KR202-227,368,2502,2955,2994,1270,2884,2208,699,854,877,2320,160,1074,3,4920,489
KR202-228,1468,1109,2464,2799,948,589,2858,1140,501,2691,93,1060,1114,2,15000,9439
KR202-229,2114,198,1479,1249,1475,744,407,2280,226,2285,796,1948,1154,2,13000,8939
KR202-230,1023,1150,1672,2026,1590,441,2484,2300,2928,1082,2064,2412,1194,2,10000,349
KR202-231,482,546,299,2304,2953,1029,1863,2809,454,927,2488,2341,1234,4,9999,3434
KR202-232,614,2138,962,2017,2398,2963,2189,1804,414,2016,1350,2464,1274,2,7500,234
KR202-233,2395,2521,2157,728,1028,43,138,826,570,2825,181,787,1314,4,6000,349
KR202-234,1336,1478,865,533,1562,422,2287,1302,1230,1059,1153,399,1354,2,20000,324
KR202-235,2565,2762,2721,1431,845,2163,2413,2227,1753,740,1139,2300,1394,3,59500,850
KR202-236,1912,1726,1569,316,71,2082,108,174,1974,609,2896,566,1434,3,2300,4930
KR202-237,2153,1112,16,130,590,2619,2576,2390,2567,1531,842,242,1474,2,4500,9483
KR202-238,1417,2044,1981,1936,2377,780,1544,1521,51,1056,1876,1356,1514,3,8000,839
KR202-239,2717,2186,2300,677,2157,2328,1917,2519,561,281,1162,1146,1554,2,39000,433
KR202-240,1015,741,2754,2925,2302,695,2869,440,406,1083,2334,1015,1594,3,3943,390
KR202-241,3050,1507,3637,1112,1963,1675,898,1986,2262,3895,1229,2904,769,5,8007,2125
KR202-242,1875,2368,830,823,868,1409,1845,3095,3247,1894,2558,3048,1819,1,13225,1253
KR202-243,1717,593,3006,2935,3139,2753,3247,3845,1720,3413,3399,2799,1120,3,14682,1128
KR202-244,2383,2046,2487,3827,1674,3118,2849,2233,3888,2566,2216,3817,1067,5,11997,1191
KR202-245,1115,2694,3038,3366,1058,2724,2863,1930,1787,838,3087,1565,1623,2,12876,611
KR202-246,3108,1197,2472,1264,3179,3638,1268,1581,3456,1630,1788,2288,608,2,6548,2192
KR202-247,3439,1854,652,1827,1645,2257,2733,1337,2034,2106,877,2409,1578,2,10463,1017
KR202-248,2382,1096,1627,782,1959,1464,3659,633,2566,1963,3097,760,503,5,12455,709
KR202-249,3482,1016,3316,3044,1935,3735,867,1789,556,3158,3683,575,1117,4,11831,751
KR202-250,1054,972,3653,2907,1813,2700,3857,2669,3607,2758,1493,2162,1576,3,13168,2437
KR202-251,2607,2968,2554,3309,3273,1083,3148,3839,853,3774,1330,3304,1783,5,10292,2849
KR202-252,2694,647,3610,3785,1697,3959,1182,1391,634,3438,1981,2340,803,1,2963,2308
KR202-253,2111,1097,1420,2079,1547,1682,3385,3664,1486,3193,3386,2553,1699,2,11996,597
KR202-254,1979,1801,814,2518,3555,2216,2971,821,2079,3321,2792,3184,799,1,9957,2145
KR202-255,3055,1931,3838,1869,3053,3169,1196,1308,3956,2157,3613,868,1562,2,10092,1986
KR202-256,1043,3751,694,1229,969,2776,2798,2891,2383,3558,3499,3465,1859,2,14413,2652
KR202-257,2697,1889,1822,1706,702,3334,519,1306,543,523,957,3194,742,3,9350,723
KR202-258,3395,2415,1327,1023,2205,1044,3568,3369,2503,854,2371,2794,1472,2,7701,2092
KR202-259,3145,2167,1831,3567,1543,749,835,906,2181,1177,3119,2343,1886,1,13594,1078
KR202-260,861,2910,3044,646,2216,1201,2131,3872,2284,1725,3809,635,1646,4,9965,1427
KR202-261,2677,629,3186,3566,1028,1682,2610,653,3844,2312,3602,2900,816,2,4020,2498
KR202-262,3725,1808,2838,1579,2886,4000,3142,641,1242,1797,2532,2937,857,1,10087,1786
KR202-263,863,3837,737,3402,1864,3140,706,3088,3591,2915,637,2291,1075,4,11836,1431
KR202-264,3400,3308,3819,2728,3751,864,1455,586,3259,1674,1868,1592,1751,3,6105,761
KR202-265,1816,2186,3047,1891,2020,1880,1704,1221,1681,3733,1594,2682,1293,3,12236,837
KR202-266,2454,1673,3941,1629,2006,3780,1150,3638,2516,1940,1689,3321,1820,4,3552,738
KR202-267,2462,2174,1341,1640,3865,2780,1223,2228,3363,2841,2371,1597,958,5,10228,1579
KR202-268,3492,3438,3740,3230,3531,1179,1246,2677,3957,1867,832,2812,1643,5,9404,2501
KR202-269,2846,2685,2264,3148,1170,656,2513,2748,2279,655,2192,830,574,3,12805,1633
KR202-270,2867,1056,1325,2238,1546,3405,2716,2565,3414,1795,2734,3264,1438,5,12409,1977
KR202-271,632,1568,2319,2649,2689,695,2316,1236,2724,1737,1023,1830,1084,3,14807,1104
KR202-272,1153,1180,3201,2321,1066,3718,1793,2066,1928,3647,1734,2696,1741,4,7796,2294
KR202-273,2238,3615,3670,960,3642,3701,1200,1732,2278,1545,869,1631,1314,3,1716,1541
KR202-274,875,525,2402,3783,1177,561,3732,3892,538,1618,3322,2266,1591,5,12349,1088
KR202-275,1416,1298,2093,2468,1510,1417,3487,1634,3394,2477,3129,735,1011,5,2625,913
KR202-276,1085,3019,2162,2131,580,3092,765,918,3678,597,874,1125,1084,3,3960,1832
